trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",20,13,9.231322530205807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.3, 'e': 0.8999999999999999}",20,0,-29.62145395866775,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.8499999999999999}",20,0,-85.65766778249949,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.7999999999999998}",25,0,-31.44921607661415,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.3, 'e': 0.7499999999999998}",20,0,-60.855729001089436,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.6999999999999997}",30,0,-85.80336376581985,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.6499999999999997}",25,17,-5.339465509419592,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.3, 'e': 0.5999999999999996}",20,14,2.351523623843292,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.5499999999999996}",20,0,-16.9865857100268,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.4999999999999996}",20,6,-8.245416769569417,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.4499999999999996}",25,7,-42.929658007724,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.3, 'e': 0.39999999999999963}",35,0,-26.143350523144846,"{0: 29, 1: 4, 2: 0, 3: 2, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.34999999999999964}",30,10,-39.309604739296354,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.3, 'e': 0.29999999999999966}",25,0,-11.864186930875874,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.24999999999999967}",25,11,5.950757586763562,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.19999999999999968}",20,4,-32.32588189714809,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.3, 'e': 0.1499999999999997}",20,12,10.455542255293679,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.09999999999999969}",20,9,20.187731527555176,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.3, 'e': 0.049999999999999684}",20,0,15.058138249363918,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.3, 'e': -3.191891195797325e-16}",20,1,24.92153396205966,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-78.55066479559014,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,25.035201820015722,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,10,15.749321119484843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,3,23.89393096339015,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-66.87221732960548,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,14,9.46063657939606,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-19.91387725908736,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,1,-30.078594524291734,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,22,13.988294375888849,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,7,-68.25536437334868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
