trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",20,13,9.231322530205807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9048374180359596}",20,0,-29.62145395866775,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250579}",20,0,-85.65766778249949,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779819}",25,0,-77.31292428475545,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.778800783071405}",20,0,-55.71088227495599,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.740818220681718}",20,0,-107.5733173705894,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187136}",30,0,-107.23289658576142,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356394}",30,7,1.4258727209084245,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6376281516217734}",25,0,-63.90708357429498,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126335}",30,12,1.9496330449127282,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5769498103804868}",25,11,-54.66500936759471,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-90.82799371257806,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5220457767610162}",30,6,-29.78777022440135,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.49658530379140964}",25,14,-45.79544933038605,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.4723665527410148}",25,17,-35.495331354883525,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.4493289641172217}",25,5,-74.96266975219723,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.42741493194872676}",25,4,-16.569705855613986,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.4065696597405992}",20,9,-2.7793802114808734,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.3867410234545013}",25,0,-138.2733628508463,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 0.3678794411714424}",20,9,10.201635931466937,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34993774911115544}",30,8,-36.177735346369424,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.33287108369807966}",25,10,-11.450249124195752,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.31663676937905333}",25,18,14.342024441081968,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
