trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-108.36446573006383,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359596}",20,0,-126.9507610336207,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250579}",20,0,-106.0843580356621,"{0: 11, 1: 2, 2: 3, 3: 4, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779819}",25,0,-56.609315523521445,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.778800783071405}",20,0,-123.20929637112401,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.740818220681718}",20,0,-50.957497813634745,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187136}",25,0,-89.95190425928882,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6703200460356394}",20,0,-62.62222717368651,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6376281516217734}",30,0,-82.35674567280623,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126335}",20,7,-55.60067882717733,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5769498103804868}",25,0,-38.14134709278478,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,2,-98.3205765212168,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.5220457767610162}",20,0,-72.97244297250458,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.49658530379140964}",20,0,9.189866136443564,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.4723665527410148}",25,0,-121.23048611936917,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.4493289641172217}",20,0,-40.08467917525764,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872676}",20,0,-84.38037958339153,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405992}",20,0,-29.818817510872826,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.3867410234545013}",30,0,-47.37791936998186,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.3678794411714424}",25,0,-63.689739137719734,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,36.78953201169902,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-6.766593500617638,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,1,31.210353979377636,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-2.094764470012505,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,3,22.41819973260933,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,37.97423318278278,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,5,12.343039405129304,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,16.399210695223665,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,26.02516910093447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,13,23.87426245311355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
